Main_instr.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,name ,gender ,ag,date,expName,psychopyVersion,OS,frameRate,instr_BJW.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW.stopped,BJW_slider.response,BJW_slider.rt,BJW_slider.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,BJW_trials.ran,Text,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,tren.stopped,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,fb_tren.started,fb_tren.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,task_L.stopped,resp.keys,resp.corr,resp.rt,resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,loop_L.ran,slider.started,slider.stopped,sl_h.response,sl_h.rt,sl_h.history,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,l_slid.ran,q_sl,fin_sum.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,Get_points.stopped,textbox.text,thanks.started,thanks.stopped
0.0002,1.3119,space,1.2929,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,1.3119,1.6952,space,0.3706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,1.7148,2.4949,3,0.778,"[{""rating"":3,""responseTime"":0.7780000000000005}]",0,0,0,0,1,"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,2.4965,2.6452,3,0.1469,"[{""rating"":3,""responseTime"":0.14690000000037173}]",0,1,1,1,1,"Как правило, жизнь ко мне справедлива.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,2.6465,2.8121,3,0.1571,"[{""rating"":3,""responseTime"":0.15710000000149016}]",0,2,2,2,1,"Я верю, что обычно получаю то, что заслуживаю.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,2.8136,2.9445,3,0.1238,"[{""rating"":3,""responseTime"":0.12380000000074531}]",0,3,3,3,1,В моей жизни в общем и целом всё происходит справедливо.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,2.9457,3.0954,3,0.1413,"[{""rating"":3,""responseTime"":0.14130000000074538}]",0,4,4,4,1,"В моей жизни несправедливость – скорее исключение, чем правило.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,3.0967,3.2284,3,0.125,"[{""rating"":3,""responseTime"":0.125}]",0,5,5,5,1,"Я считаю, что в целом в моей жизни всё справедливо.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,3.23,3.3782,3,0.1478,"[{""rating"":3,""responseTime"":0.14780000000074622}]",0,6,6,6,1,"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,test_osf_4?,0,0,2026-04-08_00h46.05.382,4_calibr_sum,2025.1.1,MacIntel,60.97560976,,,,,,3.3794,3.5449,3,0.1639,"[{""rating"":3,""responseTime"":0.16390000000037297}]",0,7,7,7,1,"Я считаю, что в целом мир справедлив.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
